file_size iteration peer duration
1 0 0 38451
1 0 1 43503
1 0 2 40924
1 0 3 47241
1 0 4 44632
1 0 5 45987
1 0 6 48027
1 0 7 47891
1 0 8 52597
50 0 0 14064188
50 0 1 14071341
50 0 2 14078717
50 0 3 14079140
50 0 4 14082426
50 0 5 14084165
50 0 6 14087480
50 0 7 14087920
50 0 8 14124458
100 0 0 28108167
100 0 1 28111269
100 0 2 28120821
100 0 3 29115291
100 0 4 29122813
100 0 5 29122850
100 0 6 29124651
100 0 7 29126059
100 0 8 29130200
1 1 0 38011
1 1 1 38255
1 1 2 40470
1 1 3 41185
1 1 4 40974
1 1 5 43222
1 1 6 44058
1 1 7 42188
1 1 8 47034
50 1 0 14061971
50 1 1 14072237
50 1 2 14076815
50 1 3 14079817
50 1 4 14080630
50 1 5 14083636
50 1 6 14089718
50 1 7 14099842
50 1 8 14103125
100 1 0 28137772
100 1 1 28144356
100 1 2 28148732
100 1 3 28148893
100 1 4 29138528
100 1 5 29138833
100 1 6 29151342
100 1 7 29152241
100 1 8 29156302
1 2 0 38457
1 2 1 36379
1 2 2 40381
1 2 3 41081
1 2 4 46789
1 2 5 43273
1 2 6 47388
1 2 7 47110
1 2 8 48999
50 2 0 14074253
50 2 1 14086276
50 2 2 14097696
50 2 3 14093749
50 2 4 14093240
50 2 5 14100355
50 2 6 14094814
50 2 7 14101660
50 2 8 15096063
100 2 0 28134926
100 2 1 28139598
100 2 2 28143207
100 2 3 28146888
100 2 4 28163741
100 2 5 29146132
100 2 6 29148959
100 2 7 29158591
100 2 8 29163106
1 3 0 38306
1 3 1 37840
1 3 2 38018
1 3 3 38405
1 3 4 40976
1 3 5 42431
1 3 6 44245
1 3 7 46445
1 3 8 48836
50 3 0 14091230
50 3 1 14097105
50 3 2 14102744
50 3 3 14107579
50 3 4 14110121
50 3 5 14110624
50 3 6 14111845
50 3 7 14118108
50 3 8 14121847
100 3 0 28111676
100 3 1 28123256
100 3 2 28124209
100 3 3 28125289
100 3 4 28124926
100 3 5 28125744
100 3 6 28131868
100 3 7 28132524
100 3 8 28351649
1 4 0 38361
1 4 1 36975
1 4 2 38201
1 4 3 38876
1 4 4 41925
1 4 5 43053
1 4 6 43062
1 4 7 44422
1 4 8 45332
50 4 0 13087250
50 4 1 13096198
