file_size iteration peer duration
50 0 0 15058380
50 0 1 15075976
50 0 2 15056059
50 0 3 15059410
50 0 4 15066489
50 0 5 15099512
50 0 6 15087135
50 0 7 15092784
50 0 8 16081017
50 1 0 15036889
50 1 1 15013213
50 1 2 15017130
50 1 3 15030491
50 1 4 15023893
50 1 5 15019174
50 1 6 15030231
50 1 7 15037440
50 1 8 15226796
50 2 0 14054217
50 2 1 14063026
50 2 2 14068520
50 2 3 14081756
50 2 4 14081389
50 2 5 14087760
50 2 6 14088826
50 2 7 14093017
50 2 8 14093857
50 3 0 14064000
50 3 1 14081138
50 3 2 14083397
50 3 3 15063895
50 3 4 15075423
50 3 5 15091273
50 3 6 15092925
50 3 7 15095906
50 3 8 15097650
50 4 0 14080506
50 4 1 14092229
50 4 2 14290121
50 4 3 15097980
50 4 4 15098116
50 4 5 15103875
50 4 6 15103406
50 4 7 15105568
50 4 8 15108472
50 5 0 14063898
50 5 1 14090010
50 5 2 14100172
50 5 3 15089142
50 5 4 15093161
50 5 5 15092105
50 5 6 15109554
50 5 7 15110324
50 5 8 15113152
50 6 0 14066713
50 6 1 14088655
50 6 2 14096615
50 6 3 14095358
50 6 4 14096907
50 6 5 14100206
50 6 6 14104656
50 6 7 14117910
50 6 8 14298886
50 7 0 14083023
50 7 1 14082717
50 7 2 14083571
50 7 3 14084799
50 7 4 14089081
50 7 5 14092516
50 7 6 14098741
50 7 7 14107257
50 7 8 14106875
50 8 0 14071477
50 8 1 14077880
50 8 2 14079611
50 8 3 14085764
50 8 4 14092154
50 8 5 14095308
50 8 6 14284154
50 8 7 15086948
50 8 8 15107699
50 9 0 15047399
50 9 1 15051622
50 9 2 15057250
50 9 3 15060945
50 9 4 15061523
50 9 5 15073758
50 9 6 15078414
50 9 7 15090632
50 9 8 15088636
50 10 0 14080308
50 10 1 14082097
50 10 2 14085019
50 10 3 14088976
50 10 4 14090040
50 10 5 14097996
50 10 6 14098156
50 10 7 14105471
50 10 8 15092178
50 11 0 14077494
50 11 1 14083562
50 11 2 14087867
50 11 3 15084926
50 11 4 15093655
50 11 5 15096415
50 11 6 15099504
50 11 7 15101935
50 11 8 15111032
50 12 0 15058389
50 12 1 15060920
50 12 2 15065371
50 12 3 15065497
50 12 4 15069109
50 12 5 15073155
50 12 6 15076991
50 12 7 15084904
50 12 8 16091604
50 13 0 14070645
50 13 1 14084509
50 13 2 14097773
50 13 3 14105363
50 13 4 14105778
50 13 5 15098787
50 13 6 15107125
50 13 7 15112281
50 13 8 15112202
50 14 0 14071676
50 14 1 14081006
50 14 2 14083760
50 14 3 15078085
50 14 4 15079341
50 14 5 15079268
50 14 6 15095173
50 14 7 15098654
50 14 8 15100360
50 15 0 14072862
50 15 1 14074698
50 15 2 14080792
50 15 3 15080299
50 15 4 15087698
50 15 5 15087687
50 15 6 15093360
50 15 7 15113525
50 15 8 15113429
50 16 0 14067693
50 16 1 14073990
50 16 2 14081794
50 16 3 14086235
50 16 4 14088478
50 16 5 14093176
50 16 6 14094524
50 16 7 14096727
50 16 8 14106042
50 17 0 14072586
50 17 1 14076604
50 17 2 14078479
50 17 3 14084440
50 17 4 14085574
50 17 5 14089416
50 17 6 14089320
50 17 7 14105262
50 17 8 14106030
50 18 0 14070471
50 18 1 14082984
50 18 2 14085878
50 18 3 14086814
50 18 4 14091081
50 18 5 14092703
50 18 6 14280486
50 18 7 15087247
50 18 8 15095564
50 19 0 14061872
50 19 1 14063371
50 19 2 14068973
50 19 3 14074023
50 19 4 14079479
50 19 5 14082249
50 19 6 14087195
50 19 7 14288343
50 19 8 15080168
50 20 0 14070348
50 20 1 14078020
50 20 2 14088833
50 20 3 14090392
50 20 4 14091304
50 20 5 14092597
50 20 6 14092991
50 20 7 14105393
50 20 8 15094222
50 21 0 14052838
50 21 1 15065520
50 21 2 15070160
50 21 3 15082084
50 21 4 15084920
50 21 5 15088452
50 21 6 15095836
50 21 7 15100566
50 21 8 15112740
50 22 0 14061538
50 22 1 14072239
50 22 2 14077415
50 22 3 14079508
50 22 4 14081017
50 22 5 14087753
50 22 6 14279389
50 22 7 15076451
50 22 8 15094367
50 23 0 14054530
50 23 1 14072215
50 23 2 14072696
50 23 3 14081497
50 23 4 14088211
50 23 5 14089687
50 23 6 14096458
50 23 7 14096915
50 23 8 15077037
50 24 0 14083217
50 24 1 14087870
50 24 2 14085433
50 24 3 14088779
50 24 4 14095299
50 24 5 14098755
50 24 6 14101180
50 24 7 14101916
50 24 8 14103324
50 25 0 14064774
50 25 1 14078119
50 25 2 14087235
50 25 3 14090711
50 25 4 14097201
50 25 5 14097528
50 25 6 14100846
50 25 7 14102041
50 25 8 14107313
50 26 0 14095618
50 26 1 14291038
50 26 2 15100682
50 26 3 15103582
50 26 4 15111601
50 26 5 15114767
50 26 6 15117354
50 26 7 15118777
50 26 8 15123649
50 27 0 14055693
50 27 1 14075206
50 27 2 14079974
50 27 3 14081367
50 27 4 14083064
50 27 5 14084088
50 27 6 14087204
50 27 7 14087052
50 27 8 14098070
50 28 0 14072320
50 28 1 14074335
50 28 2 14076671
50 28 3 14083428
50 28 4 14089395
50 28 5 14090309
50 28 6 14096462
50 28 7 14106036
50 28 8 14110141
50 29 0 14087902
50 29 1 15087302
50 29 2 15090371
50 29 3 15094700
50 29 4 15097508
50 29 5 15102715
50 29 6 15110321
50 29 7 15110786
50 29 8 15123499
50 30 0 14100455
50 30 1 15081788
50 30 2 15090708
50 30 3 15100725
50 30 4 15098913
50 30 5 15102945
50 30 6 15107276
50 30 7 15111817
50 30 8 15114344
50 31 0 14064280
50 31 1 14100616
50 31 2 14105413
50 31 3 15095361
50 31 4 15102866
50 31 5 15103563
50 31 6 15109166
50 31 7 15120767
50 31 8 15124080
50 32 0 14077595
50 32 1 14076727
50 32 2 14088390
50 32 3 14089117
50 32 4 14094835
50 32 5 14286175
50 32 6 14292681
50 32 7 15090008
50 32 8 15090117
50 33 0 14068562
50 33 1 14080419
50 33 2 14088365
50 33 3 14090914
50 33 4 14098027
50 33 5 14098694
50 33 6 14101754
50 33 7 14108671
50 33 8 14111073
50 34 0 14062270
50 34 1 14086380
50 34 2 14099577
50 34 3 14104371
50 34 4 14110205
50 34 5 14109690
50 34 6 14116375
50 34 7 15086253
50 34 8 15095722
50 35 0 14055158
50 35 1 14058239
50 35 2 14059329
50 35 3 14059459
50 35 4 14067001
50 35 5 14069175
50 35 6 14076431
50 35 7 14079114
50 35 8 14080204
50 36 0 14049476
50 36 1 14090784
50 36 2 14099068
50 36 3 14107323
50 36 4 15096695
50 36 5 15095721
50 36 6 15098907
50 36 7 15103598
50 36 8 15106200
50 37 0 14079112
50 37 1 14081343
50 37 2 14084984
50 37 3 15070954
50 37 4 15066388
50 37 5 15077674
50 37 6 15080139
50 37 7 15079144
50 37 8 15089827
50 38 0 14083587
50 38 1 14084376
50 38 2 14088967
50 38 3 14094165
50 38 4 14102106
50 38 5 14102817
50 38 6 14108057
50 38 7 14113938
50 38 8 14129684
50 39 0 14056701
50 39 1 14071931
50 39 2 14075034
50 39 3 14072618
50 39 4 14091131
50 39 5 14093821
50 39 6 14102489
50 39 7 14111640
50 39 8 14292827
50 40 0 14061146
50 40 1 14063457
50 40 2 14064816
50 40 3 14065865
50 40 4 14073791
50 40 5 14075113
50 40 6 14085983
50 40 7 14092734
50 40 8 14098353
50 41 0 14055705
50 41 1 14071044
50 41 2 14073556
50 41 3 14079450
50 41 4 14082742
50 41 5 14084407
50 41 6 15074511
50 41 7 15076835
50 41 8 15086106
50 42 0 14049800
50 42 1 14054686
50 42 2 14054932
50 42 3 14075156
50 42 4 15057854
50 42 5 15082596
50 42 6 15098364
50 42 7 15098653
50 42 8 15103041
50 43 0 14085759
50 43 1 14086604
50 43 2 14086128
50 43 3 14086838
50 43 4 14087580
50 43 5 14090138
50 43 6 14091253
50 43 7 14094220
50 43 8 14097238
50 44 0 14076905
50 44 1 14084342
50 44 2 14102440
50 44 3 14105142
50 44 4 14107127
50 44 5 14106995
50 44 6 14113504
50 44 7 14115046
50 44 8 14120774
50 45 0 14075731
50 45 1 14098458
50 45 2 14102969
50 45 3 14102926
50 45 4 14106987
50 45 5 14110575
50 45 6 14303348
50 45 7 15104233
50 45 8 15116118
50 46 0 14085192
50 46 1 14094347
50 46 2 14099491
50 46 3 14110354
50 46 4 14110552
50 46 5 14112650
50 46 6 14114650
50 46 7 14116796
50 46 8 14124832
50 47 0 14088580
50 47 1 14089340
50 47 2 14095380
50 47 3 14110394
50 47 4 14120635
50 47 5 14120021
50 47 6 14121198
50 47 7 14124842
50 47 8 14130445
50 48 0 14084603
50 48 1 14091812
50 48 2 14090778
50 48 3 14104519
50 48 4 14106447
50 48 5 14110398
50 48 6 14115189
50 48 7 15096657
50 48 8 15101471
50 49 0 14075221
50 49 1 14085564
50 49 2 14096453
50 49 3 14099000
50 49 4 14106696
50 49 5 14109214
