file_size iteration peer duration
50 0 0 5263487
50 0 1 5273406
50 0 2 6287228
50 0 3 6288788
50 0 4 6295748
50 0 5 6301616
50 0 6 6302152
50 0 7 6306334
50 0 8 6310642
50 0 9 6311396
50 0 10 6312019
50 0 11 6311874
50 0 12 6314588
50 0 13 6316613
50 0 14 6320750
50 1 0 6307966
50 1 1 6331016
50 1 2 6330695
50 1 3 7344774
50 1 4 7339256
50 1 5 7343043
50 1 6 7342703
50 1 7 7341883
50 1 8 7352226
50 1 9 7340357
50 1 10 7353201
50 1 11 7347416
50 1 12 7347539
50 1 13 7348583
50 1 14 7354942
50 2 0 4288021
50 2 1 4291865
50 2 2 4299443
50 2 3 4300566
50 2 4 4305462
50 2 5 4310293
50 2 6 4311397
50 2 7 4310143
50 2 8 4313533
50 2 9 4313988
50 2 10 4317876
50 2 11 4324249
50 2 12 4325236
50 2 13 4330278
50 2 14 4329462
50 3 0 3259191
50 3 1 3256895
50 3 2 3264351
50 3 3 3266702
50 3 4 3270182
50 3 5 3270604
50 3 6 3272213
50 3 7 3274674
50 3 8 3285315
50 3 9 3292050
50 3 10 4282916
50 3 11 4283856
50 3 12 4282804
50 3 13 4284374
50 3 14 4296317
50 4 0 5311436
50 4 1 5312188
50 4 2 5316690
50 4 3 5318807
50 4 4 5319694
50 4 5 5319487
50 4 6 5320242
50 4 7 5321757
50 4 8 5324855
50 4 9 5324986
50 4 10 5326923
50 4 11 5340502
50 4 12 5343725
50 4 13 5349448
50 4 14 5538657
